@relation answerExp2
@attribute AnswerType STRING
@attribute Question STRING
@data
"NUM:other" , "what be the population of mozambique" 
"LOC:state" , "what state have the most indian" 
"NUM:dist" , "how long be camptown racetrack" 
"HUM:ind" , "name the two blob member of the animated herculoids" 
"LOC:other" , "where do luther display his theses" 
"LOC:other" , "what river be pocahontas bury along" 
"NUM:count" , "how many mile be it from london england to plymouth england" 
"LOC:other" , "where be dartmouth college" 
"HUM:ind" , "what tv talk show host be a lay preacher by the time he be seventeen" 
"HUM:ind" , "what one of the backstreet boy be single" 
"NUM:count" , "how many people be randy craft convict of murder" 
"LOC:other" , "what river flow through vienna budapest and belgrade" 
"HUM:ind" , "what civil war general wreak havoc on the south by march through georgia on his way to the sea" 
"HUM:ind" , "who be the conservationist who serve a spokesperson for post grape nut" 
"LOC:other" , "which area produce the least acidic coffee" 
"HUM:ind" , "what suburban housewife and mother of three write the feminine mystique" 
"NUM:date" , "on which date be the ukrainian christmas" 
"LOC:city" , "what be the large city in the world" 
"NUM:weight" , "what be the average weight for a man" 
"LOC:other" , "what be britain two long river" 
"LOC:country" , "what country cover square mile" 
"HUM:ind" , "name a canine cartoon character other than huckleberry hound to have a voice by daws butler" 
"LOC:state" , "in which state be the mark twain national forest" 
"LOC:other" , "what be the old ethnological museum in the world" 
"LOC:other" , "where have the most dinosaur remains be find" 
"HUM:ind" , "who shoplift" 
"LOC:other" , "what island have a park call the battery at be southern tip" 
"NUM:money" , "how much be clara peller be pay by wendy to say where the beef" 
"NUM:date" , "what be the date of cnn first broadcast" 
"NUM:other" , "what be the stock high of apple computer and where can i find this information" 
"NUM:date" , "when be calypso music invent" 
"LOC:other" , "what caribbean island be northeast of trinidad" 
"NUM:period" , "how old be bernadette peter" 
"LOC:other" , "where can i find book review of turbulent soul" 
"NUM:date" , "what be dick clark birthday" 
"NUM:date" , "when do hitler come to power in germany" 
"NUM:date" , "when do gothic art and architecture flourish" 
"HUM:ind" , "which two inventor invent" 
"NUM:date" , "what day of the week be july" 
"HUM:ind" , "whose image be allege to be on the shroud of turin" 
"HUM:ind" , "what general be for criticize american air power" 
"HUM:ind" , "who say the victor will never be ask if he tell the truth" 
"NUM:count" , "approximately how many student be enrol at the university of massachusetts" 
"LOC:state" , "what be the fast grow state in the in" 
"NUM:count" , "how many american soldier have die for their country to date" 
"LOC:other" , "where do the opera singer ileana cotrubas come from" 
"HUM:ind" , "saddam hussein be compare to whom by president bush" 
"NUM:date" , "what year be the naacp found" 
"NUM:date" , "in what year do thatcher gain power" 
"HUM:ind" , "who write the book the grinch who steal christmas" 
"LOC:other" , "where can i learn about samuel gompers" 
"HUM:ind" , "what jockey win triple crown race" 
"LOC:state" , "what state big lake be lake sam rayburn" 
"HUM:ind" , "who seize power from milton obote in" 
"LOC:state" , "what state be niagara fall locate in" 
"NUM:temp" , "how hot do the inside of an active volcano get" 
"LOC:other" , "where be the orange bowl" 
"LOC:city" , "what scandinavian capital be build on nine island" 
"HUM:ind" , "what actor be the father of star alan alda" 
"LOC:other" , "where be the smithsonian institute locate" 
"NUM:volsize" , "what be the size of argentina" 
"NUM:date" , "what date be richard nixon birthday" 
"HUM:ind" , "what little boy and dog live in a shoe" 
"NUM:perc" , "what percent of world fresh water be find in canada" 
"NUM:date" , "cnn first broadcast occur on what date" 
"NUM:count" , "how many groove be on a dime" 
"HUM:ind" , "what be marilyn monroe real name" 
"NUM:other" , "what number of american soldier remain unaccounted from the vietnam war" 
"HUM:ind" , "what father and son win the medal of honor" 
"NUM:count" , "how many consecutive baseball game do lou gehrig play" 
"NUM:count" , "how many different type of skunk be there" 
"HUM:ind" , "who be the prophet of medina" 
"NUM:date" , "what year do spielberg make jaw" 
"HUM:ind" , "what be the name of the woman who be with john belushi when he die" 
"LOC:other" , "what do most tourist visit in reims" 
"LOC:city" , "what unite state city produce the most oil" 
"NUM:perc" , "what the percentage of child age two through eleven who watch simpson" 
"LOC:country" , "what be the only country in the western hemisphere to join the boycott of the summer olympics" 
"LOC:other" , "in what part of africa be mozambique locate" 
"HUM:ind" , "whose funeral train travel from washington to springfield illinois" 
"HUM:ind" , "what the identity of john merrick the noble ogre of victorian england" 
"HUM:ind" , "what be her husband name" 
"HUM:ind" , "which of the follow do not receive a outstanding mother award from the national mother day committee" 
"HUM:ind" , "what dynasty star make her debut in the virgin queen" 
"LOC:other" , "where be poe birthplace" 
"HUM:ind" , "what actress hold the record for the most appearance on the cover of life" 
"HUM:ind" , "what president have in the confederate army" 
"HUM:ind" , "who be the queen of holland" 
"LOC:other" , "where can i find detailed information about manchukuo" 
"HUM:ind" , "what actor learn to play the saxophone and speak russian for a role in a movie" 
"HUM:ind" , "who say if you don look good we don look good" 
"HUM:ind" , "who be secretary of state during the nixon administration" 
"NUM:money" , "how much money do each player get at the beginning of the game in monopoly" 
"LOC:other" , "where the gum department store" 
"LOC:state" , "what state be name the green mountain state" 
"NUM:date" , "what year be the atm first introduce" 
"LOC:state" , "what be all the southern state of the united state" 
"NUM:other" , "what do equal" 
"HUM:ind" , "what attorney work for the center for the defense of free enterprise" 
"NUM:date" , "what be dick clark date of birth" 
"NUM:count" , "how many equal side be there on a scalene triangle" 
"LOC:other" , "where do bill gate go to college" 
"LOC:other" , "what constellation be know a the water bearer" 
"NUM:date" , "in which year be the cartoon character chilly willy create" 
"LOC:other" , "where can i find the history of the taiwanese language" 
"LOC:state" , "what state be mount mckinley in" 
"HUM:ind" , "which classical spanish writer say all that glitter be not gold" 
"NUM:other" , "how large be missouri population" 
"NUM:date" , "when be the internal combustion engine develop" 
"HUM:ind" , "who paint soft with grilled bacon" 
"HUM:ind" , "who kill caesar" 
"LOC:other" , "where be king canyon" 
"NUM:date" , "what time do wee willie winkie run through the town" 
"NUM:ord" , "what chapter of go with the wind have rhett butler leave scarlett o" 
"NUM:money" , "what amount of money do the philippine marcos steal from the treasury" 
"LOC:country" , "what asian country once thrill to the sport of cricket fighting" 
"NUM:count" , "how many variety of apple be there" 
"HUM:ind" , "who win the most oscar for costume design" 
"NUM:period" , "what be the average life expectancy of a male in ireland in" 
"LOC:city" , "what city be near the mouth of the amazon" 
"HUM:ind" , "what once declare if you see one slum you see them all" 
"HUM:ind" , "who write the red badge of courage" 
"LOC:other" , "where do the inuit live" 
"HUM:ind" , "what british monarch lap do barnum tom thumb sit in" 
"HUM:ind" , "who invent the road traffic cone" 
"HUM:ind" , "which of the following people be not associate with andy warhol" 
"LOC:other" , "what former royal palace have serve a a granary prison arsenal leper colony mint telegraph station and whorehouse before become an art museum" 
"LOC:other" , "where be i have fall and i can get up say first" 
"HUM:ind" , "what president ghost be say to haunt the white house" 
"HUM:ind" , "what be the name of jack original roommate on three company" 
"NUM:count" , "how many url extension be there and what be they" 
"LOC:other" , "where do the wright brother make their first flight" 
"HUM:ind" , "who win the battle of gettysburg" 
"HUM:ind" , "name the two youngster save by the animated moby dick" 
"HUM:ind" , "who be the captain of the tanker exxon valdez involve in the oil spill in prince william sound alaska" 
"LOC:city" , "what be the snowy city in the" 
"NUM:other" , "what be the chemical reactivity of helium" 
"HUM:ind" , "the name of the actor who play the detective in the film kindergarden cop be what" 
"HUM:ind" , "what actor come to dinner in guess who come to dinner" 
"HUM:ind" , "what engineer invent the can" 
"LOC:city" , "what south american capital be the world high" 
"LOC:other" , "name a civil war battlefield" 
"NUM:date" , "when do you plant winter wheat" 
"NUM:count" , "how many county be in indiana" 
"HUM:ind" , "who be the first actress to appear on a postage stamp" 
"HUM:ind" , "who be the first black woman to star in the folie bergeres" 
"LOC:other" , "what famed strip of land be a boat trip across the venetian lagoon from venice" 
"NUM:money" , "what be the exchange rate between england and the" 
"NUM:other" , "what be the protection rate of use condom" 
"LOC:other" , "which continent have the most rose" 
"NUM:count" , "how many corner do a spritsail have" 
"HUM:ind" , "what tv character be bear in baghdad" 
"LOC:mount" , "what be the four large mountain range on the asian continent" 
"NUM:dist" , "how far can you see" 
"LOC:other" , "where in the bible do it tell about jesus christ brother and sister" 
"LOC:country" , "what country boast the southernmost point in continental europe" 
"NUM:date" , "when do nostradamus believe world war iii would begin" 
"LOC:country" , "what country be brian boru an king of" 
"HUM:ind" , "who ask the musical question have you ever be to electric lady land" 
"HUM:ind" , "who write poem be make by fool like me but only god can make a tree" 
"LOC:other" , "where do the annual meeting of forest expert take place" 
"HUM:ind" , "who play the part of the godfather in the movie the godfather" 
"NUM:date" , "when be london docklands light railway construct" 
"HUM:ind" , "who invent the wonderbra" 
"LOC:city" , "what state capital come last alphabetically" 
"NUM:period" , "how long do the charles manson murder trial last" 
"NUM:period" , "how long do it take for your blood to make one complete trip through the body" 
"HUM:ind" , "who own the louis ram" 
"LOC:other" , "where be former pro wrestler johnny rubber man walker" 
"LOC:other" , "what be the geographical center of the u include alaska and hawaii" 
"NUM:date" , "when do mormon believe christ be bear" 
"NUM:date" , "in what year be actress joan collins bear" 
"NUM:money" , "what be average salary of restaurant manager in united state" 
"NUM:period" , "on average how long time do it take to type a screenplay" 
"NUM:period" , "how long do cardinal egg incubate" 
"HUM:ind" , "what texas surgeon perform the first artificial heart transplant" 
"LOC:country" , "what country have the port of haifa" 
"LOC:other" , "what be the address for the main government office in rome italy" 
"HUM:ind" , "who make the most appearance in the center square on hollywood square" 
"NUM:count" , "how many of every member of the rodeo cowboys association have never work a ranch" 
"HUM:ind" , "what marvelous baseball player be now a spokesman for a beer company" 
"HUM:ind" , "who say the only thing we have to fear be fear itself" 
"LOC:other" , "where be romania locate" 
"NUM:count" , "how many film be make by the major studio in a year" 
"NUM:count" , "how many small business be there in the" 
"NUM:period" , "what age be benny carter" 
"LOC:city" , "what city do the mormon establish a their headquarters in" 
"LOC:country" , "what two country be link by the brenner pas" 
"LOC:state" , "mississippi have what name for a state nickname" 
"LOC:city" , "what city be name for francis of assisi" 
"NUM:count" , "how many megawatt will the power project in indonesia build by a consortium head by mission energy of u produce" 
"HUM:ind" , "who be the sexy woman in the world" 
"NUM:date" , "what day be know a the national day of prayer" 
"LOC:other" , "where can i get a photograph of professor randolph quirk" 
"HUM:ind" , "who be the supreme god of germanic religion" 
"HUM:ind" , "who play the most game for the new york yankee" 
"HUM:ind" , "what tv character say one of these day alice pow right in the kisser" 
"HUM:ind" , "what be the name of the indian who become prime minister by beat gandhi in the election" 
"HUM:ind" , "what chilean president be kill in a coup d" 
"NUM:other" , "what be einstein iq" 
"HUM:ind" , "name the first russian astronaut to do a spacewalk" 
"HUM:ind" , "what be the first name of the famous act team of lunt and fontanne" 
"NUM:count" , "how many real fruit juice be there in a can of hawaiian punch" 
"LOC:other" , "what be the principal river of ireland" 
"LOC:other" , "what lake be the source of the white nile" 
"NUM:weight" , "how much do a poodle weigh" 
"NUM:count" , "how many point be there on a backgammon board" 
"NUM:count" , "how many frames do a disk camera shoot" 
"NUM:date" , "when do theo rousseau paint the forest of fontaine" 
"NUM:count" , "how many people have be captain america" 
"HUM:ind" , "what president be mean for but never place in the empty crypt beneath the capital rotunda" 
"LOC:other" , "what be all the river in europe" 
"HUM:ind" , "who win the superbowl in" 
"NUM:date" , "in what year be gandhi assassinate" 
"NUM:period" , "what be the time it take a typist to type a screenplay that be page long" 
"HUM:ind" , "what hungarian cardinal be first a state prisoner and then a refugee in the embassy" 
"NUM:count" , "how many pair of wing do a tsetse fly have" 
"LOC:country" , "what the country in the world" 
"NUM:date" , "the film jaw be make in what year" 
"HUM:ind" , "who direct citizen kane" 
"HUM:ind" , "what be the nickname of the famous flyer who mistakenly fly to ireland instead of to los angeles" 
"HUM:ind" , "whose special bear creator be bear on january" 
"LOC:country" , "in what country be lund" 
"LOC:city" , "what be the capital of seattle" 
"HUM:ind" , "what italian leader have a lifelong fear of the evil eye" 
"LOC:city" , "what city in florida be sea world in" 
"HUM:ind" , "who say what contemptible scoundrel steal the cork from my lunch" 
"HUM:ind" , "what president kiss the queen mother on the lip" 
"LOC:other" , "where do the tennis star stefan edberg come from" 
"LOC:other" , "what continent push up the executive committee mountain range" 
"HUM:ind" , "what be al capone nickname" 
"HUM:ind" , "who be the author of the famous fairy tale snow white and seven dwarf" 
"LOC:city" , "what be the large city in germany" 
"LOC:other" , "what park contain firehole river and fairy fall" 
"LOC:other" , "what the large island in the west indie" 
"LOC:state" , "what new england state carry the telephone area code" 
"LOC:other" , "in what county be eckley colorado" 
"NUM:money" , "how much do it cost to have a tree plant by dial" 
"NUM:period" , "how long do hermit crab live" 
"LOC:city" , "what city host the first winter olympics in asia" 
"NUM:date" , "what month be you bear in if your birthstone be sardonyx" 
"HUM:ind" , "who be behind the name of the harvey wallbanger drink" 
"NUM:money" , "how much money can a person be fin for have a dog on a beach" 
"LOC:country" , "what desert country border saudi arabia iraq and the persian gulf" 
"HUM:ind" , "what american actress be the first to be call a vamp" 
"NUM:date" , "what date do man first land on the moon" 
"LOC:other" , "where be the headquarters of eli lilly" 
"NUM:count" , "how many web server be there" 
"NUM:count" , "how many tree go into paper making in a year" 
"LOC:other" , "where can i find info on research be do on oilseed thru genetics" 
"NUM:dist" , "how far out be the universe" 
"LOC:other" , "where do the mayan indians live" 
"LOC:other" , "where be poe bear" 
"NUM:count" , "how many warmup pitch do a reliever get come into a baseball game" 
"LOC:other" , "where do dylan thomas die" 
"NUM:count" , "how many fig newton be there to the pound" 
"HUM:ind" , "who be the premier of china" 
"HUM:ind" , "what comedian observe you only as old a the woman you feel" 
"NUM:count" , "how many bone be there in the human hand" 
"HUM:ind" , "who be the president of vichy france" 
"HUM:ind" , "whose kidnaping be term the crime of the century" 
"LOC:other" , "what be the tall building in america in" 
"HUM:ind" , "what buxom blonde appear on the cover of more than magazine" 
"NUM:dist" , "how far be it from phoenix to blythe" 
"LOC:city" , "what new hampshire hamlet rise early to vote first in presidential election" 
"NUM:count" , "how many people watch network television" 
"HUM:ind" , "who first break the sound barrier" 
"NUM:count" , "how many horse be there on a polo team" 
"LOC:other" , "where do the grimace and mayor mccheese live" 
"NUM:period" , "how long do it take to hike the entire appalachian trail" 
"HUM:ind" , "what role do fruit play in the survival of plant" 
"LOC:other" , "where be the world championship sled dog race hold each february" 
"HUM:ind" , "what pulitzer novelist ran for mayor of new york city" 
"NUM:count" , "how many time can a rechargeable battery be recharge" 
"NUM:count" , "how many seat do the batmobile sport" 
"NUM:count" , "how many card be deal to each player in gin rummy" 
"NUM:date" , "what time of year do most people fly" 
"HUM:ind" , "who be scrooge dead partner in dickens a christmas carol" 
"NUM:date" , "when be the thai new year" 
"HUM:ind" , "who record the hit tammy" 
"HUM:ind" , "who be mia farrow mother" 
"NUM:dist" , "how far can a human eye see" 
"NUM:date" , "what time of year have the most air travel" 
"NUM:date" , "when be the group of nation form" 
"HUM:ind" , "what baseball player be walk the most time" 
"HUM:ind" , "what famous male vocalist have the same name a the composer of the opera hansel and gretel" 
"NUM:date" , "when do they canonize the bible" 
"HUM:ind" , "who be the only president to serve two nonconsecutive term" 
"NUM:perc" , "what percentage of all world tornado touch down in the u" 
"HUM:ind" , "what labor leader be last see in the parking lot of a michigan restaurant" 
"NUM:date" , "when do the carolingian period begin" 
"HUM:ind" , "who report the weather on the good morning america television show" 
"NUM:count" , "how many emperor be there in the roman empire" 
"HUM:ind" , "what be the name of the muppets creator" 
"HUM:ind" , "who send the brief message i come i saw i conquer" 
"HUM:ind" , "what air force general lead the first bombing raid over tokyo" 
"HUM:ind" , "what say some newspaper dispose of their garbage by print it" 
"HUM:ind" , "what be the name of the first watergate special prosecutor later fire by nixon" 
"NUM:date" , "on what day be john f and jackie kennedy marry" 
"HUM:ind" , "who win a pulitzer prize for his novel the caine mutiny" 
"LOC:other" , "where be your corpus callosum" 
"HUM:ind" , "who portray sherlock holmes in film between and" 
"LOC:other" , "when superman need to get away from it all where do he go" 
"NUM:period" , "how old be singer freedy johnston" 
"HUM:ind" , "what be the name of the pop singer whose song become the theme song for a brand of catsup" 
"HUM:ind" , "who claim to be the world most man" 
"LOC:other" , "where can i get cotton textile importer detail" 
"NUM:date" , "when do spain and korea start ambassadorial relation" 
"NUM:count" , "how many groove be on a dime edge" 
"LOC:other" , "what canal do the thatcher ferry bridge span" 
"HUM:ind" , "what american win the world grand prix drive championship in" 
"NUM:perc" , "what be the chance of pregnacy if the penis do not penetrate the vagina" 
"LOC:other" , "where can i find a lesson plan for teach the metric system conversion to american standard" 
"HUM:ind" , "name a female figure skater" 
"NUM:period" , "how long would it take for a saving bond to mature" 
"NUM:money" , "what be the average cost for four year of medical school" 
"NUM:count" , "how many spear be there on kenya flag" 
"LOC:other" , "where do george of the jungle live" 
"NUM:other" , "what men par on a golf hole" 
"NUM:perc" , "what percentage of american men be alcoholic" 
"NUM:money" , "dialing to have a tree plant will cost how much" 
"NUM:count" , "in south korea how many american soldier be there" 
"HUM:ind" , "who portray carl bernstein in all the president men" 
"NUM:other" , "what be the number that fit into fermont last theorem" 
"HUM:ind" , "who be tiny tim father" 
"HUM:ind" , "who be bonnie blue butler father" 
"NUM:count" , "how many american have hiv" 
"LOC:other" , "where do i find information for foreclosure property on the internet" 
"HUM:ind" , "who be the antichrist" 
"LOC:country" , "which latin american country be the large" 
"LOC:other" , "what be the former residence of scottish king in edinburgh" 
"NUM:count" , "how many teat do a female goat sport" 
"NUM:dist" , "how tall be kilamanjaro" 
"HUM:ind" , "who be the lawyer who represent randy steven craft" 
"LOC:country" , "what country buy percent of the world tea export" 
"LOC:country" , "what country be the origin of the band the creep" 
"HUM:ind" , "which of the following celebrity be not bear in philadelphia" 
"NUM:other" , "what be the number of american soldier deploy to south korea" 
"LOC:other" , "where be the big bell" 
"NUM:count" , "what be the estimated total whitetail deer population" 
"HUM:ind" , "who write the farmer almanac" 
"NUM:other" , "what number be at o on a dartboard" 
"HUM:ind" , "cnn be own by whom" 
"LOC:country" , "what country offer albert einstein it presidency in" 
"HUM:ind" , "who be the century monk who gain control of florence but end burnt at the stake" 
"HUM:ind" , "what french leader sell louisiana to the united state" 
"LOC:other" , "what bay sparkle next to miami florida" 
"NUM:count" , "how many mile of vein be in the circulatory system" 
"LOC:other" , "what famed river flow through bagdad" 
"HUM:ind" , "who be the prime minister of japan" 
"HUM:ind" , "what player squat an average of time during a baseball doubleheader" 
"HUM:ind" , "what the most common name in nursery rhyme" 
"NUM:count" , "how many no answer be the what my line panel allow" 
"NUM:money" , "what be the fine for have a dog on a beach" 
"HUM:ind" , "who write the book song of solomon" 
"LOC:other" , "where can one find information on religion and health the brain and nutrition" 
"HUM:ind" , "name the ranger who be always after yogi bear" 
"HUM:ind" , "who be the president of the spanish government" 
"HUM:ind" , "who hold the career record for the most major league home run" 
"HUM:ind" , "which of the following actor work in new york yiddish theater" 
"HUM:ind" , "who invent the stethoscope" 
"NUM:count" , "how many four star general be there and who be they" 
"NUM:date" , "when do nixon die" 
"HUM:ind" , "what comedian hit the tv screen in with the nbc afternoon show time for ernie" 
"NUM:count" , "how many member be in the california congressional delegation" 
"LOC:other" , "what erupt every hour at yellowstone national park" 
"LOC:country" , "what country contain the high point in south america" 
"HUM:ind" , "what be arnold palmer fan call" 
"HUM:ind" , "who retire with home run to his credit" 
"LOC:other" , "what constellation represent a hunter with club and shield" 
"HUM:ind" , "who develop potlatch" 
"NUM:period" , "how long do shea and gould practice law in los angeles" 
"NUM:other" , "what a perfect score in a gymnastics exercise" 
"NUM:period" , "at what age do rossini stop write opera" 
"LOC:city" , "what russian seaport have a name mean lord of the east" 
"HUM:ind" , "name the two actress daughter of john mill" 
"NUM:period" , "how old be gene siskel" 
"LOC:mount" , "what rocky mountain ridge separate north america eastward and river" 
"HUM:ind" , "who be the actress bette davis once say she wish she look like" 
"HUM:ind" , "who portray the cowardly lion in the wizard of oz" 
"LOC:other" , "what gate open on east and west berlin" 
"HUM:ind" , "who be the first king of england" 
"NUM:count" , "how many calorie be there in soy sauce" 
"HUM:ind" , "who kill kurt cobain" 
"HUM:ind" , "who create the monster in mary shelley novel frankenstein" 
"LOC:other" , "what the farthest planet from the sun" 
"NUM:volsize" , "how big be our galaxy in diameter" 
"NUM:date" , "when be a woman most fertile" 
"HUM:ind" , "what son of a mexican girl and a father become the world most famous greek" 
"HUM:ind" , "who be the first man to return to space" 
"HUM:ind" , "who give abbie hoffman his first dose of lsd" 
"HUM:ind" , "what actress in become the first performer to win an oscar for play a character of the opposite sex" 
"HUM:ind" , "who shoot billy the kid" 
"HUM:ind" , "what mormon leader be say to have have wife" 
"LOC:other" , "what the name of a hotel in indianapolis" 
"NUM:count" , "how many people in tucson" 
"LOC:other" , "where be melbourne" 
"HUM:ind" , "with whom do bush compare saddam hussein" 
"LOC:country" , "what country be mikhail gorbachev the leader of" 
"NUM:weight" , "what be the recommended weight of a male that be" 
"HUM:ind" , "what pillar of the dutch renaissance paint aristotle contemplate the bust of homer" 
"LOC:other" , "what be the large county in size in massachusetts" 
"HUM:ind" , "what be the name of the brilliant british economist behind it creation" 
"HUM:ind" , "who play sally rogers on the dick van dyke show" 
"HUM:ind" , "what mythical figure carry an hourglass and a scythe" 
"NUM:money" , "how much be a canadian twenty dollar gold coin worth" 
"LOC:other" , "what natural attraction draw the most visitor in the united state" 
"NUM:count" , "how many year do sleep beauty sleep" 
"NUM:period" , "how long do it take for your body to restore blood after you donate your blood" 
"LOC:other" , "what river run through liverpool" 
"HUM:ind" , "what famous british actor lose his voice after an operation in" 
"LOC:country" , "what country be kim philby really work for" 
"LOC:country" , "what country be hitler the chancellor of" 
"HUM:ind" , "what be rona barrett marry name" 
"NUM:count" , "how many year make up a lustrum" 
"HUM:ind" , "who be the mathematician that win the noble prize for literature in" 
"HUM:ind" , "which glamorous actress be a close friend of dick tracy" 
"NUM:period" , "how old be the italian artist maurizio pellegrin" 
"HUM:ind" , "what president hit the jogging path to enhance his athletic image and sport no almost collapse during the road race" 
"LOC:city" , "what north american city would you visit to see cleopatra needle" 
"NUM:date" , "when be the nfl establish" 
"LOC:other" , "where can i find an ask an expert site" 
"HUM:ind" , "what make his mark describe colorful broadway and underworld character" 
"LOC:state" , "what state have the low high elevation at foot" 
"HUM:ind" , "what baseball great plug coffee" 
"HUM:ind" , "who baby be sweet pea on the popeye cartoon" 
"LOC:other" , "where be mile high stadium" 
"LOC:city" , "what city contain the district of hell kitchen" 
"HUM:ind" , "what english physician be bear on january and go on to create two important invention" 
"HUM:ind" , "who do arthur bremer try to assassinate on may" 
"NUM:speed" , "how fast must a spacecraft travel to escape earth gravity" 
"HUM:ind" , "what apostle be taylor caldwell great lion of god" 
"NUM:count" , "how many ring be there on a archery target" 
"LOC:other" , "which one of the great lake be entirely within territory" 
"LOC:state" , "what state have sagebrush a it state flower" 
"HUM:ind" , "what comic strip photographer peter parker secret identity" 
"LOC:country" , "what nationality be pope john paul ii" 
"LOC:other" , "where be some great educational resource for parent and teacher" 
"NUM:count" , "how many israeli athlete be kill at the munich olympics" 
"NUM:date" , "when be richard nixon bear" 
"LOC:other" , "what new york city landmark have step to it crown" 
"LOC:other" , "where be the bull basketball team base" 
"NUM:period" , "what be the recomended age to switch a child from a crib to a bed" 
"HUM:ind" , "which rockefeller be sometimes call" 
"NUM:date" , "when be the sun closest to the earth" 
"NUM:count" , "what be the average hour per month spend online by aol user" 
"HUM:ind" , "whom do friz freleng add to the warner cartoon rank" 
"HUM:ind" , "who be shakespeare moorish general" 
"LOC:mount" , "what the mountain in the world" 
"LOC:country" , "what country be erich honecker the leader of" 
"LOC:city" , "what two japanese city be spell with the letter k o o t and y" 
"HUM:ind" , "who teach matt murdock to use his extraordinary ability in marvel comic" 
"LOC:other" , "where do wile coyote always get his device" 
"NUM:dist" , "how far away be the moon" 
"HUM:ind" , "what famous film and tv cowboy lend his name to a fast food chain" 
"HUM:ind" , "who famously ride to warn the people of massachusetts that the british be come" 
"HUM:ind" , "who command the french force at the battle of orleans" 
"LOC:other" , "where can an individual get a contact lens test that burn the entire surface of eye when new" 
"LOC:country" , "what country do the mont blanc tunnel join" 
"NUM:date" , "when do amtrak begin operation" 
"NUM:count" , "how many bone be in the human hand" 
"NUM:count" , "how many chemical element be there" 
"LOC:state" , "what eastern state sprout the first commercial nuclear power plant in the" 
"LOC:country" , "what be the three most populated country in the world" 
"HUM:ind" , "who lead the opposition when konrad adenauer be chancellor in germany" 
"NUM:count" , "what be the current population for these country france spain italy greece austria germany switzerland the netherlands" 
"NUM:period" , "what be the young age a boy or girl can have an orgasm" 
"LOC:other" , "what be the large office block in the world" 
"HUM:ind" , "who turn all he touch to gold" 
"HUM:ind" , "who play shortstop for charlie brown baseball team" 
"LOC:country" , "what country do the roman call hibernia" 
"HUM:ind" , "who be the most famous food editor of the new york time" 
"NUM:count" , "how many dog pull a sled in the iditarod" 
"NUM:period" , "how long do cocaine stay in your system" 
"LOC:country" , "what two country fight the hundred year war" 
"HUM:ind" , "who be the last president to reinstate selective service registration" 
"NUM:date" , "on which date do the running of the bull occur in pamplona spain" 
"HUM:ind" , "what be the name of the lawyer who represent randy steven craft" 
"HUM:ind" , "what actress autobiography be title shelley also know a shirley" 
"NUM:count" , "how many color be the collectible call a donald duck rubber boat" 
"HUM:ind" , "who live on the shore of the gitchee gumee river" 
"LOC:country" , "what country will hit the year first" 
"HUM:ind" , "who be section manager for guidance and control system at jpl" 
"HUM:ind" , "what be goldfinger first name" 
"LOC:other" , "what square be the geographical center of london" 
"HUM:ind" , "which of the following famous people do not paint a a hobby" 
"LOC:city" , "what be the most populated city in the world" 
"NUM:count" , "how many pitcher occupy the shelf beside the crouch woman in edgar degas paint the tub" 
"NUM:money" , "what be the cost of the drug use in tuberculosis treatment" 
"LOC:other" , "where do victor hugo spend his exile" 
"HUM:ind" , "who should i call to get a tour of the new york stock exchange" 
"NUM:count" , "how many airline school be there in the" 
"HUM:ind" , "what general die december when his jeep collide with a truck" 
"NUM:count" , "how many major nazi leader go on trial after the war at nuremberg" 
"LOC:state" , "what state do helen keller call home" 
"HUM:ind" , "what be the name of the director of the movie jaw" 
"NUM:date" , "what year be etch on the gold medal of excellence from the paris exposition depict on a can of campbell tomato soup" 
"LOC:country" , "what country royal house be" 
"HUM:ind" , "who portray field in the film field and me" 
"NUM:money" , "how much money do the sultan of brunei have" 
"LOC:country" , "what country would you visit to ski in the dolomite" 
"NUM:date" , "what month third weekend be the monterey jazz festival hold on" 
"HUM:ind" , "who build the first successful stern wheel steamboat" 
"HUM:ind" , "who be hitler minister of propaganda" 
"HUM:ind" , "who be the first doctor to successfully transplant a liver" 
"LOC:city" , "what african capital be name for a president" 
"LOC:other" , "what mediterranean island be home to the first club med" 
"LOC:other" , "where can you find the venus flytrap" 
"NUM:date" , "when be john rockefeller bear" 
"LOC:other" , "what building build in contains mile of book shelf" 
"HUM:ind" , "who be the lawyer for randy steven craft" 
"HUM:ind" , "who be repute to be the great maker of violin" 
"HUM:ind" , "what future soviet dictator be train to be a priest when he get turn on to marxism" 
"NUM:period" , "how long do james bond like his egg boil" 
"LOC:city" , "what city skyline boast the gateway arch" 
"LOC:other" , "where be belize locate" 
"HUM:ind" , "who sue the dannon yougurt company for use a character name ron raider for promotion" 
"HUM:ind" , "who be the first jockey to ride two triple crown winner" 
"HUM:ind" , "who write brave new world" 
"LOC:state" , "what state do charles robb represent" 
"NUM:count" , "how many people be taller than foot" 
"HUM:ind" , "who write unsafe at any speed" 
"NUM:count" , "how many island make up antigua" 
"LOC:state" , "what state boast stone mountain the world large mass of expose granite" 
"HUM:ind" , "what british commander surrender to george washington at yorktown in" 
"HUM:ind" , "who create the world wide web www" 
"HUM:ind" , "what be the name of the president of garmat" 
"HUM:ind" , "who be leader of the byzantine empire" 
"HUM:ind" , "who be the first president to appoint a woman to head a cabinet" 
"LOC:country" , "what southeast asian country have the wang river join the ping river at tak" 
"LOC:city" , "what italian city of be leonardo da vinci michaelangelo and machiavelli all work in" 
