@relation answerExp8
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FirstAndSecond STRING
@attribute SecondAndThird STRING
@attribute FirstAndThird STRING
@data
"NUM:other" , "what" , "men" , "par" , "what men" , "men par" , "what par" 
"NUM:perc" , "what" , "percentage" , "of" , "what percentage" , "percentage of" , "what of" 
"NUM:money" , "dialing" , "to" , "have" , "dialing to" , "to have" , "dialing have" 
"NUM:count" , "in" , "south" , "korea" , "in south" , "south korea" , "in korea" 
"HUM:ind" , "who" , "portray" , "carl" , "who portray" , "portray carl" , "who carl" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "be" , "tiny" , "who be" , "be tiny" , "who tiny" 
"HUM:ind" , "who" , "be" , "bonnie" , "who be" , "be bonnie" , "who bonnie" 
"NUM:count" , "how" , "many" , "american" , "how many" , "many american" , "how american" 
"LOC:other" , "where" , "do" , "i" , "where do" , "do i" , "where i" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:country" , "which" , "latin" , "american" , "which latin" , "latin american" , "which american" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:count" , "how" , "many" , "teat" , "how many" , "many teat" , "how teat" 
"NUM:dist" , "how" , "tall" , "be" , "how tall" , "tall be" , "how be" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:country" , "what" , "country" , "buy" , "what country" , "country buy" , "what buy" 
"LOC:country" , "what" , "country" , "be" , "what country" , "country be" , "what be" 
"HUM:ind" , "which" , "of" , "the" , "which of" , "of the" , "which the" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"NUM:count" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "write" , "the" , "who write" , "write the" , "who the" 
"NUM:other" , "what" , "number" , "be" , "what number" , "number be" , "what be" 
"HUM:ind" , "cnn" , "be" , "own" , "cnn be" , "be own" , "cnn own" 
"LOC:country" , "what" , "country" , "offer" , "what country" , "country offer" , "what offer" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "what" , "french" , "leader" , "what french" , "french leader" , "what leader" 
"LOC:other" , "what" , "bay" , "sparkle" , "what bay" , "bay sparkle" , "what sparkle" 
"NUM:count" , "how" , "many" , "mile" , "how many" , "many mile" , "how mile" 
"LOC:other" , "what" , "famed" , "river" , "what famed" , "famed river" , "what river" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "what" , "player" , "squat" , "what player" , "player squat" , "what squat" 
"HUM:ind" , "what" , "the" , "most" , "what the" , "the most" , "what most" 
"NUM:count" , "how" , "many" , "no" , "how many" , "many no" , "how no" 
"NUM:money" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "write" , "the" , "who write" , "write the" , "who the" 
"LOC:other" , "where" , "can" , "one" , "where can" , "can one" , "where one" 
"HUM:ind" , "name" , "the" , "ranger" , "name the" , "the ranger" , "name ranger" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "hold" , "the" , "who hold" , "hold the" , "who the" 
"HUM:ind" , "which" , "of" , "the" , "which of" , "of the" , "which the" 
"HUM:ind" , "who" , "invent" , "the" , "who invent" , "invent the" , "who the" 
"NUM:count" , "how" , "many" , "four" , "how many" , "many four" , "how four" 
"NUM:date" , "when" , "do" , "nixon" , "when do" , "do nixon" , "when nixon" 
"HUM:ind" , "what" , "comedian" , "hit" , "what comedian" , "comedian hit" , "what hit" 
"NUM:count" , "how" , "many" , "member" , "how many" , "many member" , "how member" 
"LOC:other" , "what" , "erupt" , "every" , "what erupt" , "erupt every" , "what every" 
"LOC:country" , "what" , "country" , "contain" , "what country" , "country contain" , "what contain" 
"HUM:ind" , "what" , "be" , "arnold" , "what be" , "be arnold" , "what arnold" 
"HUM:ind" , "who" , "retire" , "with" , "who retire" , "retire with" , "who with" 
"LOC:other" , "what" , "constellation" , "represent" , "what constellation" , "constellation represent" , "what represent" 
"HUM:ind" , "who" , "develop" , "potlatch" , "who develop" , "develop potlatch" , "who potlatch" 
"NUM:period" , "how" , "long" , "do" , "how long" , "long do" , "how do" 
"NUM:other" , "what" , "a" , "perfect" , "what a" , "a perfect" , "what perfect" 
"NUM:period" , "at" , "what" , "age" , "at what" , "what age" , "at age" 
"LOC:city" , "what" , "russian" , "seaport" , "what russian" , "russian seaport" , "what seaport" 
"HUM:ind" , "name" , "the" , "two" , "name the" , "the two" , "name two" 
"NUM:period" , "how" , "old" , "be" , "how old" , "old be" , "how be" 
"LOC:mount" , "what" , "rocky" , "mountain" , "what rocky" , "rocky mountain" , "what mountain" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "portray" , "the" , "who portray" , "portray the" , "who the" 
"LOC:other" , "what" , "gate" , "open" , "what gate" , "gate open" , "what open" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:count" , "how" , "many" , "calorie" , "how many" , "many calorie" , "how calorie" 
"HUM:ind" , "who" , "kill" , "kurt" , "who kill" , "kill kurt" , "who kurt" 
"HUM:ind" , "who" , "create" , "the" , "who create" , "create the" , "who the" 
"LOC:other" , "what" , "the" , "farthest" , "what the" , "the farthest" , "what farthest" 
"NUM:volsize" , "how" , "big" , "be" , "how big" , "big be" , "how be" 
"NUM:date" , "when" , "be" , "a" , "when be" , "be a" , "when a" 
"HUM:ind" , "what" , "son" , "of" , "what son" , "son of" , "what of" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "give" , "abbie" , "who give" , "give abbie" , "who abbie" 
"HUM:ind" , "what" , "actress" , "in" , "what actress" , "actress in" , "what in" 
"HUM:ind" , "who" , "shoot" , "billy" , "who shoot" , "shoot billy" , "who billy" 
"HUM:ind" , "what" , "mormon" , "leader" , "what mormon" , "mormon leader" , "what leader" 
"LOC:other" , "what" , "the" , "name" , "what the" , "the name" , "what name" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"LOC:other" , "where" , "be" , "melbourne" , "where be" , "be melbourne" , "where melbourne" 
"HUM:ind" , "with" , "whom" , "do" , "with whom" , "whom do" , "with do" 
"LOC:country" , "what" , "country" , "be" , "what country" , "country be" , "what be" 
"NUM:weight" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "pillar" , "of" , "what pillar" , "pillar of" , "what of" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "play" , "sally" , "who play" , "play sally" , "who sally" 
"HUM:ind" , "what" , "mythical" , "figure" , "what mythical" , "mythical figure" , "what figure" 
"NUM:money" , "how" , "much" , "be" , "how much" , "much be" , "how be" 
"LOC:other" , "what" , "natural" , "attraction" , "what natural" , "natural attraction" , "what attraction" 
"NUM:count" , "how" , "many" , "year" , "how many" , "many year" , "how year" 
"NUM:period" , "how" , "long" , "do" , "how long" , "long do" , "how do" 
"LOC:other" , "what" , "river" , "run" , "what river" , "river run" , "what run" 
"HUM:ind" , "what" , "famous" , "british" , "what famous" , "famous british" , "what british" 
"LOC:country" , "what" , "country" , "be" , "what country" , "country be" , "what be" 
"LOC:country" , "what" , "country" , "be" , "what country" , "country be" , "what be" 
"HUM:ind" , "what" , "be" , "rona" , "what be" , "be rona" , "what rona" 
"NUM:count" , "how" , "many" , "year" , "how many" , "many year" , "how year" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "which" , "glamorous" , "actress" , "which glamorous" , "glamorous actress" , "which actress" 
"NUM:period" , "how" , "old" , "be" , "how old" , "old be" , "how be" 
"HUM:ind" , "what" , "president" , "hit" , "what president" , "president hit" , "what hit" 
"LOC:city" , "what" , "north" , "american" , "what north" , "north american" , "what american" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "what" , "make" , "his" , "what make" , "make his" , "what his" 
"LOC:state" , "what" , "state" , "have" , "what state" , "state have" , "what have" 
"HUM:ind" , "what" , "baseball" , "great" , "what baseball" , "baseball great" , "what great" 
"HUM:ind" , "who" , "baby" , "be" , "who baby" , "baby be" , "who be" 
"LOC:other" , "where" , "be" , "mile" , "where be" , "be mile" , "where mile" 
"LOC:city" , "what" , "city" , "contain" , "what city" , "city contain" , "what contain" 
"HUM:ind" , "what" , "english" , "physician" , "what english" , "english physician" , "what physician" 
"HUM:ind" , "who" , "do" , "arthur" , "who do" , "do arthur" , "who arthur" 
"NUM:speed" , "how" , "fast" , "must" , "how fast" , "fast must" , "how must" 
"HUM:ind" , "what" , "apostle" , "be" , "what apostle" , "apostle be" , "what be" 
"NUM:count" , "how" , "many" , "ring" , "how many" , "many ring" , "how ring" 
"LOC:other" , "which" , "one" , "of" , "which one" , "one of" , "which of" 
"LOC:state" , "what" , "state" , "have" , "what state" , "state have" , "what have" 
"HUM:ind" , "what" , "comic" , "strip" , "what comic" , "comic strip" , "what strip" 
"LOC:country" , "what" , "nationality" , "be" , "what nationality" , "nationality be" , "what be" 
"LOC:other" , "where" , "be" , "some" , "where be" , "be some" , "where some" 
"NUM:count" , "how" , "many" , "israeli" , "how many" , "many israeli" , "how israeli" 
"NUM:date" , "when" , "be" , "richard" , "when be" , "be richard" , "when richard" 
"LOC:other" , "what" , "new" , "york" , "what new" , "new york" , "what york" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"NUM:period" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "which" , "rockefeller" , "be" , "which rockefeller" , "rockefeller be" , "which be" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"NUM:count" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "whom" , "do" , "friz" , "whom do" , "do friz" , "whom friz" 
"HUM:ind" , "who" , "be" , "shakespeare" , "who be" , "be shakespeare" , "who shakespeare" 
"LOC:mount" , "what" , "the" , "mountain" , "what the" , "the mountain" , "what mountain" 
"LOC:country" , "what" , "country" , "be" , "what country" , "country be" , "what be" 
"LOC:city" , "what" , "two" , "japanese" , "what two" , "two japanese" , "what japanese" 
"HUM:ind" , "who" , "teach" , "matt" , "who teach" , "teach matt" , "who matt" 
"LOC:other" , "where" , "do" , "wile" , "where do" , "do wile" , "where wile" 
"NUM:dist" , "how" , "far" , "away" , "how far" , "far away" , "how away" 
"HUM:ind" , "what" , "famous" , "film" , "what famous" , "famous film" , "what film" 
"HUM:ind" , "who" , "famously" , "ride" , "who famously" , "famously ride" , "who ride" 
"HUM:ind" , "who" , "command" , "the" , "who command" , "command the" , "who the" 
"LOC:other" , "where" , "can" , "an" , "where can" , "can an" , "where an" 
"LOC:country" , "what" , "country" , "do" , "what country" , "country do" , "what do" 
"NUM:date" , "when" , "do" , "amtrak" , "when do" , "do amtrak" , "when amtrak" 
"NUM:count" , "how" , "many" , "bone" , "how many" , "many bone" , "how bone" 
"NUM:count" , "how" , "many" , "chemical" , "how many" , "many chemical" , "how chemical" 
"LOC:state" , "what" , "eastern" , "state" , "what eastern" , "eastern state" , "what state" 
"LOC:country" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "lead" , "the" , "who lead" , "lead the" , "who the" 
"NUM:count" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:period" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "turn" , "all" , "who turn" , "turn all" , "who all" 
"HUM:ind" , "who" , "play" , "shortstop" , "who play" , "play shortstop" , "who shortstop" 
"LOC:country" , "what" , "country" , "do" , "what country" , "country do" , "what do" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:count" , "how" , "many" , "dog" , "how many" , "many dog" , "how dog" 
"NUM:period" , "how" , "long" , "do" , "how long" , "long do" , "how do" 
"LOC:country" , "what" , "two" , "country" , "what two" , "two country" , "what country" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:date" , "on" , "which" , "date" , "on which" , "which date" , "on date" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "actress" , "autobiography" , "what actress" , "actress autobiography" , "what autobiography" 
"NUM:count" , "how" , "many" , "color" , "how many" , "many color" , "how color" 
"HUM:ind" , "who" , "live" , "on" , "who live" , "live on" , "who on" 
"LOC:country" , "what" , "country" , "will" , "what country" , "country will" , "what will" 
"HUM:ind" , "who" , "be" , "section" , "who be" , "be section" , "who section" 
"HUM:ind" , "what" , "be" , "goldfinger" , "what be" , "be goldfinger" , "what goldfinger" 
"LOC:other" , "what" , "square" , "be" , "what square" , "square be" , "what be" 
"HUM:ind" , "which" , "of" , "the" , "which of" , "of the" , "which the" 
"LOC:city" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:count" , "how" , "many" , "pitcher" , "how many" , "many pitcher" , "how pitcher" 
"NUM:money" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "do" , "victor" , "where do" , "do victor" , "where victor" 
"HUM:ind" , "who" , "should" , "i" , "who should" , "should i" , "who i" 
"NUM:count" , "how" , "many" , "airline" , "how many" , "many airline" , "how airline" 
"HUM:ind" , "what" , "general" , "die" , "what general" , "general die" , "what die" 
"NUM:count" , "how" , "many" , "major" , "how many" , "many major" , "how major" 
"LOC:state" , "what" , "state" , "do" , "what state" , "state do" , "what do" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:date" , "what" , "year" , "be" , "what year" , "year be" , "what be" 
"LOC:country" , "what" , "country" , "royal" , "what country" , "country royal" , "what royal" 
"HUM:ind" , "who" , "portray" , "field" , "who portray" , "portray field" , "who field" 
"NUM:money" , "how" , "much" , "money" , "how much" , "much money" , "how money" 
"LOC:country" , "what" , "country" , "would" , "what country" , "country would" , "what would" 
"NUM:date" , "what" , "month" , "third" , "what month" , "month third" , "what third" 
"HUM:ind" , "who" , "build" , "the" , "who build" , "build the" , "who the" 
"HUM:ind" , "who" , "be" , "hitler" , "who be" , "be hitler" , "who hitler" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:city" , "what" , "african" , "capital" , "what african" , "african capital" , "what capital" 
"LOC:other" , "what" , "mediterranean" , "island" , "what mediterranean" , "mediterranean island" , "what island" 
"LOC:other" , "where" , "can" , "you" , "where can" , "can you" , "where you" 
"NUM:date" , "when" , "be" , "john" , "when be" , "be john" , "when john" 
"LOC:other" , "what" , "building" , "build" , "what building" , "building build" , "what build" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "be" , "repute" , "who be" , "be repute" , "who repute" 
"HUM:ind" , "what" , "future" , "soviet" , "what future" , "future soviet" , "what soviet" 
"NUM:period" , "how" , "long" , "do" , "how long" , "long do" , "how do" 
"LOC:city" , "what" , "city" , "skyline" , "what city" , "city skyline" , "what skyline" 
"LOC:other" , "where" , "be" , "belize" , "where be" , "be belize" , "where belize" 
"HUM:ind" , "who" , "sue" , "the" , "who sue" , "sue the" , "who the" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "write" , "brave" , "who write" , "write brave" , "who brave" 
"LOC:state" , "what" , "state" , "do" , "what state" , "state do" , "what do" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"HUM:ind" , "who" , "write" , "unsafe" , "who write" , "write unsafe" , "who unsafe" 
"NUM:count" , "how" , "many" , "island" , "how many" , "many island" , "how island" 
"LOC:state" , "what" , "state" , "boast" , "what state" , "state boast" , "what boast" 
"HUM:ind" , "what" , "british" , "commander" , "what british" , "british commander" , "what commander" 
"HUM:ind" , "who" , "create" , "the" , "who create" , "create the" , "who the" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "be" , "leader" , "who be" , "be leader" , "who leader" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:country" , "what" , "southeast" , "asian" , "what southeast" , "southeast asian" , "what asian" 
"LOC:city" , "what" , "italian" , "city" , "what italian" , "italian city" , "what city" 
"NUM:count" , "how" , "many" , "state" , "how many" , "many state" , "how state" 
"LOC:city" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:perc" , "what" , "ratio" , "of" , "what ratio" , "ratio of" , "what of" 
"NUM:count" , "how" , "many" , "city" , "how many" , "many city" , "how city" 
"NUM:count" , "how" , "many" , "visitor" , "how many" , "many visitor" , "how visitor" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:date" , "what" , "century" , "do" , "what century" , "century do" , "what do" 
"NUM:count" , "how" , "many" , "space" , "how many" , "many space" , "how space" 
"NUM:date" , "in" , "what" , "year" , "in what" , "what year" , "in year" 
"NUM:weight" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:weight" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "on" , "what" , "avenue" , "on what" , "what avenue" , "on avenue" 
"LOC:other" , "where" , "do" , "the" , "where do" , "do the" , "where the" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"NUM:dist" , "how" , "far" , "be" , "how far" , "far be" , "how be" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:count" , "how" , "many" , "byte" , "how many" , "many byte" , "how byte" 
"HUM:ind" , "who" , "sing" , "the" , "who sing" , "sing the" , "who the" 
"NUM:weight" , "approximately" , "how" , "much" , "approximately how" , "how much" , "approximately much" 
"LOC:country" , "what" , "country" , "flag" , "what country" , "country flag" , "what flag" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "name" , "dondi" , "adoptive" , "name dondi" , "dondi adoptive" , "name adoptive" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"NUM:count" , "how" , "much" , "folic" , "how much" , "much folic" , "how folic" 
"NUM:date" , "what" , "year" , "be" , "what year" , "year be" , "what be" 
"NUM:count" , "how" , "many" , "colony" , "how many" , "many colony" , "how colony" 
"NUM:count" , "how" , "many" , "state" , "how many" , "many state" , "how state" 
"HUM:ind" , "whose" , "biography" , "by" , "whose biography" , "biography by" , "whose by" 
"HUM:ind" , "in" , "the" , "movie" , "in the" , "the movie" , "in movie" 
"NUM:period" , "how" , "old" , "be" , "how old" , "old be" , "how be" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"LOC:country" , "what" , "country" , "border" , "what country" , "country border" , "what border" 
"LOC:other" , "what" , "river" , "run" , "what river" , "river run" , "what run" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "what" , "doctor" , "be" , "what doctor" , "doctor be" , "what be" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "found" , "the" , "who found" , "found the" , "who the" 
"NUM:count" , "how" , "many" , "zero" , "how many" , "many zero" , "how zero" 
"NUM:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "american" , "general" , "what american" , "american general" , "what general" 
"NUM:other" , "what" , "the" , "score" , "what the" , "the score" , "what score" 
"LOC:other" , "where" , "do" , "tuberculosis" , "where do" , "do tuberculosis" , "where tuberculosis" 
"HUM:ind" , "who" , "invent" , "the" , "who invent" , "invent the" , "who the" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "what" , "senator" , "once" , "what senator" , "senator once" , "what once" 
"HUM:ind" , "what" , "be" , "li" , "what be" , "be li" , "what li" 
"NUM:count" , "how" , "many" , "liberty" , "how many" , "many liberty" , "how liberty" 
"LOC:country" , "what" , "two" , "country" , "what two" , "two country" , "what country" 
"LOC:country" , "jackson" , "pollock" , "be" , "jackson pollock" , "pollock be" , "jackson be" 
"HUM:ind" , "what" , "architect" , "originate" , "what architect" , "architect originate" , "what originate" 
"NUM:count" , "how" , "many" , "russian" , "how many" , "many russian" , "how russian" 
"NUM:date" , "when" , "be" , "franklin" , "when be" , "be franklin" , "when franklin" 
"LOC:other" , "where" , "on" , "the" , "where on" , "on the" , "where the" 
"LOC:country" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "who" , "share" , "a" , "who share" , "share a" , "who a" 
"LOC:other" , "what" , "prison" , "be" , "what prison" , "prison be" , "what be" 
"LOC:country" , "what" , "country" , "have" , "what country" , "country have" , "what have" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "what" , "hall" , "of" , "what hall" , "hall of" , "what of" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "what" , "river" , "be" , "what river" , "river be" , "what be" 
"LOC:other" , "where" , "be" , "natchitoches" , "where be" , "be natchitoches" , "where natchitoches" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:city" , "what" , "the" , "capital" , "what the" , "the capital" , "what capital" 
"NUM:money" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:money" , "what" , "will" , "the" , "what will" , "will the" , "what the" 
"LOC:city" , "what" , "city" , "be" , "what city" , "city be" , "what be" 
"HUM:ind" , "who" , "direct" , "the" , "who direct" , "direct the" , "who the" 
"HUM:ind" , "what" , "two" , "historical" , "what two" , "two historical" , "what historical" 
"LOC:other" , "where" , "in" , "the" , "where in" , "in the" , "where the" 
"LOC:country" , "what" , "country" , "in" , "what country" , "country in" , "what in" 
"NUM:money" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:money" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"NUM:date" , "what" , "year" , "be" , "what year" , "year be" , "what be" 
"HUM:ind" , "name" , "of" , "heroine" , "name of" , "of heroine" , "name heroine" 
"NUM:count" , "how" , "many" , "movie" , "how many" , "many movie" , "how movie" 
"HUM:ind" , "what" , "tv" , "character" , "what tv" , "tv character" , "what character" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "baseball" , "player" , "what baseball" , "baseball player" , "what player" 
"HUM:ind" , "who" , "kill" , "lee" , "who kill" , "kill lee" , "who lee" 
"HUM:ind" , "who" , "invent" , "the" , "who invent" , "invent the" , "who the" 
"NUM:dist" , "how" , "wide" , "be" , "how wide" , "wide be" , "how be" 
"HUM:ind" , "who" , "write" , "the" , "who write" , "write the" , "who the" 
"HUM:ind" , "what" , "singer" , "theme" , "what singer" , "singer theme" , "what theme" 
"NUM:count" , "how" , "many" , "meter" , "how many" , "many meter" , "how meter" 
"NUM:count" , "about" , "how" , "many" , "about how" , "how many" , "about many" 
"HUM:ind" , "who" , "be" , "rocky" , "who be" , "be rocky" , "who rocky" 
"HUM:ind" , "who" , "think" , "he" , "who think" , "think he" , "who he" 
"HUM:ind" , "who" , "create" , "the" , "who create" , "create the" , "who the" 
"LOC:other" , "what" , "celestial" , "body" , "what celestial" , "celestial body" , "what body" 
"HUM:ind" , "name" , "one" , "of" , "name one" , "one of" , "name of" 
"LOC:country" , "what" , "country" , "border" , "what country" , "country border" , "what border" 
"HUM:ind" , "what" , "two" , "u" , "what two" , "two u" , "what u" 
"LOC:other" , "where" , "do" , "you" , "where do" , "do you" , "where you" 
"NUM:count" , "how" , "many" , "neuron" , "how many" , "many neuron" , "how neuron" 
"LOC:city" , "what" , "city" , "be" , "what city" , "city be" , "what be" 
"LOC:city" , "what" , "city" , "be" , "what city" , "city be" , "what be" 
"LOC:other" , "what" , "london" , "museum" , "what london" , "london museum" , "what museum" 
"LOC:city" , "what" , "city" , "be" , "what city" , "city be" , "what be" 
"NUM:count" , "how" , "many" , "lake" , "how many" , "many lake" , "how lake" 
"HUM:ind" , "who" , "else" , "be" , "who else" , "else be" , "who be" 
"NUM:period" , "how" , "long" , "do" , "how long" , "long do" , "how do" 
"NUM:weight" , "how" , "many" , "pound" , "how many" , "many pound" , "how pound" 
"NUM:other" , "what" , "amount" , "of" , "what amount" , "amount of" , "what of" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:count" , "how" , "many" , "mile" , "how many" , "many mile" , "how mile" 
"NUM:count" , "how" , "many" , "chair" , "how many" , "many chair" , "how chair" 
"LOC:state" , "what" , "state" , "on" , "what state" , "state on" , "what on" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:perc" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"HUM:ind" , "who" , "write" , "the" , "who write" , "write the" , "who the" 
"LOC:country" , "what" , "country" , "do" , "what country" , "country do" , "what do" 
"LOC:other" , "what" , "be" , "some" , "what be" , "be some" , "what some" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"NUM:date" , "what" , "month" , "do" , "what month" , "month do" , "what do" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "play" , "al" , "who play" , "play al" , "who al" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"LOC:other" , "where" , "be" , "los" , "where be" , "be los" , "where los" 
"LOC:country" , "name" , "the" , "country" , "name the" , "the country" , "name country" 
"LOC:state" , "what" , "state" , "be" , "what state" , "state be" , "what be" 
"LOC:city" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "what" , "tv" , "detective" , "what tv" , "tv detective" , "what detective" 
"LOC:other" , "where" , "can" , "i" , "where can" , "can i" , "where i" 
"LOC:state" , "what" , "state" , "do" , "what state" , "state do" , "what do" 
"HUM:ind" , "in" , "the" , "past" , "in the" , "the past" , "in past" 
"HUM:ind" , "who" , "play" , "emperor" , "who play" , "play emperor" , "who emperor" 
"LOC:other" , "what" , "the" , "name" , "what the" , "the name" , "what name" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"NUM:date" , "when" , "be" , "the" , "when be" , "be the" , "when the" 
"HUM:ind" , "whose" , "husband" , "have" , "whose husband" , "husband have" , "whose have" 
"HUM:ind" , "who" , "be" , "king" , "who be" , "be king" , "who king" 
"NUM:count" , "how" , "much" , "of" , "how much" , "much of" , "how of" 
"NUM:perc" , "what" , "percentage" , "of" , "what percentage" , "percentage of" , "what of" 
"NUM:date" , "what" , "date" , "be" , "what date" , "date be" , "what be" 
"NUM:count" , "how" , "many" , "inch" , "how many" , "many inch" , "how inch" 
"NUM:count" , "how" , "many" , "stradivarius" , "how many" , "many stradivarius" , "how stradivarius" 
